Epoque 1,ERREUR - train : 4.292000, valid : 4.680000, test :4.740000,        COUT MOYEN train : 0.148747, valid : 0.165739, test: 0.157739
Epoque 2,ERREUR - train : 2.528000, valid : 3.380000, test :3.070000,        COUT MOYEN train : 0.090625, valid : 0.117347, test: 0.106956
Epoque 3,ERREUR - train : 1.840000, valid : 2.980000, test :2.650000,        COUT MOYEN train : 0.065082, valid : 0.098703, test: 0.087331
Epoque 4,ERREUR - train : 1.408000, valid : 2.820000, test :2.510000,        COUT MOYEN train : 0.050569, valid : 0.090596, test: 0.079707
Epoque 5,ERREUR - train : 1.138000, valid : 2.660000, test :2.490000,        COUT MOYEN train : 0.040003, valid : 0.085508, test: 0.075025
Epoque 6,ERREUR - train : 0.886000, valid : 2.540000, test :2.340000,        COUT MOYEN train : 0.032248, valid : 0.082613, test: 0.072057
Epoque 7,ERREUR - train : 0.678000, valid : 2.470000, test :2.230000,        COUT MOYEN train : 0.025704, valid : 0.080806, test: 0.070255
Epoque 8,ERREUR - train : 0.530000, valid : 2.370000, test :2.170000,        COUT MOYEN train : 0.020907, valid : 0.079867, test: 0.069422
Epoque 9,ERREUR - train : 0.400000, valid : 2.320000, test :2.200000,        COUT MOYEN train : 0.017025, valid : 0.079007, test: 0.069509
Epoque 10,ERREUR - train : 0.324000, valid : 2.320000, test :2.100000,        COUT MOYEN train : 0.013962, valid : 0.078296, test: 0.069131
Epoque 11,ERREUR - train : 0.244000, valid : 2.220000, test :2.090000,        COUT MOYEN train : 0.011769, valid : 0.078074, test: 0.069025
Epoque 12,ERREUR - train : 0.158000, valid : 2.240000, test :2.050000,        COUT MOYEN train : 0.009917, valid : 0.078524, test: 0.069189
Epoque 13,ERREUR - train : 0.120000, valid : 2.170000, test :1.980000,        COUT MOYEN train : 0.008576, valid : 0.078634, test: 0.069644
Epoque 14,ERREUR - train : 0.098000, valid : 2.140000, test :1.950000,        COUT MOYEN train : 0.007429, valid : 0.078778, test: 0.069841
Epoque 15,ERREUR - train : 0.068000, valid : 2.140000, test :1.950000,        COUT MOYEN train : 0.006235, valid : 0.078888, test: 0.069663
Epoque 16,ERREUR - train : 0.052000, valid : 2.130000, test :1.940000,        COUT MOYEN train : 0.005348, valid : 0.079234, test: 0.069909
Epoque 17,ERREUR - train : 0.038000, valid : 2.120000, test :1.960000,        COUT MOYEN train : 0.004605, valid : 0.079498, test: 0.069884
Epoque 18,ERREUR - train : 0.032000, valid : 2.110000, test :1.990000,        COUT MOYEN train : 0.004064, valid : 0.080003, test: 0.070227
Epoque 19,ERREUR - train : 0.022000, valid : 2.090000, test :1.940000,        COUT MOYEN train : 0.003614, valid : 0.080505, test: 0.070542
Epoque 20,ERREUR - train : 0.018000, valid : 2.070000, test :1.970000,        COUT MOYEN train : 0.003242, valid : 0.080877, test: 0.070960
Epoque 21,ERREUR - train : 0.012000, valid : 2.070000, test :1.950000,        COUT MOYEN train : 0.002929, valid : 0.081277, test: 0.071234
Epoque 22,ERREUR - train : 0.010000, valid : 2.070000, test :1.980000,        COUT MOYEN train : 0.002659, valid : 0.081859, test: 0.071653
Epoque 23,ERREUR - train : 0.006000, valid : 2.070000, test :1.940000,        COUT MOYEN train : 0.002430, valid : 0.082343, test: 0.071960
Epoque 24,ERREUR - train : 0.006000, valid : 2.070000, test :1.970000,        COUT MOYEN train : 0.002250, valid : 0.082777, test: 0.072375
Epoque 25,ERREUR - train : 0.006000, valid : 2.060000, test :1.970000,        COUT MOYEN train : 0.002074, valid : 0.083211, test: 0.072751
Epoque 26,ERREUR - train : 0.002000, valid : 2.090000, test :1.960000,        COUT MOYEN train : 0.001933, valid : 0.083802, test: 0.073111
Epoque 27,ERREUR - train : 0.002000, valid : 2.090000, test :1.970000,        COUT MOYEN train : 0.001808, valid : 0.084254, test: 0.073448
Epoque 28,ERREUR - train : 0.000000, valid : 2.070000, test :2.000000,        COUT MOYEN train : 0.001692, valid : 0.084718, test: 0.073825
Epoque 29,ERREUR - train : 0.000000, valid : 2.080000, test :1.990000,        COUT MOYEN train : 0.001591, valid : 0.085162, test: 0.074146
Epoque 30,ERREUR - train : 0.000000, valid : 2.080000, test :2.000000,        COUT MOYEN train : 0.001499, valid : 0.085604, test: 0.074510
Epoque 31,ERREUR - train : 0.000000, valid : 2.080000, test :2.000000,        COUT MOYEN train : 0.001417, valid : 0.086031, test: 0.074782
Epoque 32,ERREUR - train : 0.000000, valid : 2.090000, test :1.960000,        COUT MOYEN train : 0.001341, valid : 0.086439, test: 0.075103
